"doi","title","abstract","source_display_name"
"10.1177/0956797613494853","Aging 5 Years in 5 Minutes","How old one feels-one's subjective age-has been shown to predict important psychological and health outcomes. The current studies examined the effect of taking a standard memory test on older adults' subjective age. Study 1 showed that older adults felt older after taking a standard neuropsychological screening test and participating in a free-recall experiment than they felt at baseline. Study 2 showed that the effect was selective to older adults: Younger adults' subjective age was not affected by participating in the memory experiment. Study 3 showed that the subjective-aging effect was specific to memory, as taking a vocabulary test for a similar amount of time did not affect older adults' subjective age. Finally, Study 4 showed that simply expecting to take a memory test subjectively aged older adults. The results indicate that being in a memory-testing context affects older adults' self-perception by making them feel older.","Psychological Science"
"10.1037/a0016795","Seeing meaning in action: A bidirectional link between visual perspective and action identification level.","Actions do not have inherent meaning but rather can be interpreted in many ways. The interpretation a person adopts has important effects on a range of higher order cognitive processes. One dimension on which interpretations can vary is the extent to which actions are identified abstractly--in relation to broader goals, personal characteristics, or consequences--versus concretely, in terms of component processes. The present research investigated how visual perspective (own 1st-person vs. observer's 3rd-person) in action imagery is related to action identification level. A series of experiments measured and manipulated visual perspective in mental and photographic images to test the connection with action identification level. Results revealed a bidirectional causal relationship linking 3rd-person images and abstract action identifications. These findings highlight the functional role of visual imagery and have implications for understanding how perspective is involved in action perception at the social, cognitive, and neural levels.","Journal of Experimental Psychology General"
"10.1177/0956797615608267","Opportunity Cost Neglect Attenuates the Effect of Choices on Preferences","The idea that choices alter preferences has been widely studied in psychology, yet prior research has focused primarily on choices for which all alternatives were salient at the time of choice. Opportunity costs capture the value of the best forgone alternative and should be considered as part of any decision process, yet people often neglect them. How does the salience of opportunity costs at the time of choice influence subsequent evaluations of chosen and forgone options? In three experiments, we found that there was a larger postchoice spread between evaluations of focal options and opportunity costs when opportunity costs were explicit at the time of choice than when they remained implicit.","Psychological Science"
"10.1111/j.1467-9280.2008.02089.x","Prescribed Optimism: Is It Right to Be Wrong About the Future?","We test the assumption that people desire to be accurate when making predictions about their own future. Results revealed that, across four different scenarios and three manipulated variables (commitment to a decision, agency over the decision, and control over outcomes), participants thought it was better to make optimistically biased predictions than accurate or pessimistically biased predictions. Additionally, participants thought that they and others would be optimistic in the scenarios they read, but insufficiently so. We argue that prescriptions can serve as one standard by which the quality of predictions can be judged, and that this particular standard strongly endorses optimism.","Psychological Science"
"10.1177/0956797617705399","Black and White Lies: Race-Based Biases in Deception Judgments","In six studies ( N = 605), participants made deception judgments about videos of Black and White targets who told truths and lies about interpersonal relationships. In Studies 1a, 1b, 1c, and 2, White participants judged that Black targets were telling the truth more often than they judged that White targets were telling the truth. This truth bias was predicted by Whites' motivation to respond without prejudice. For Black participants, however, motives to respond without prejudice did not moderate responses (Study 2). In Study 3, we found similar effects with a manipulation of the targets' apparent race. Finally, in Study 4, we used eye-tracking techniques to demonstrate that Whites' truth bias for Black targets is likely the result of late-stage correction processes: Despite ultimately judging that Black targets were telling the truth more often than White targets, Whites were faster to fixate on the on-screen ""lie"" response box when targets were Black than when targets were White. These systematic race-based biases have important theoretical implications (e.g., for lie detection and improving intergroup communication and relations) and practical implications (e.g., for reducing racial bias in law enforcement).","Psychological Science"
"10.1037/0022-3514.94.3.396","The effects of an implemental mind-set on attitude strength.","The authors investigated whether an implemental mind-set fosters stronger attitudes. Participants who made a decision about how to act (vs. those who held off) expressed a more extreme attitude toward an issue unrelated to the decision (Experiment 1). Participants who planned the implementation of a decision (vs. deliberated vs. control) exhibited less ambivalent (Experiment 2) and more accessible (Experiment 3) attitudes toward various objects unrelated to the decision. Moreover, an attitude reported by planning participants better predicted self-reported behavior 1 week later (Experiment 4). Finally, results suggest that the effect of an implemental mind-set on attitude strength toward unrelated objects is driven by a focus on information that supports an already-made decision (Experiment 5). Implications for attitudes, goals, and mind-sets are discussed.","Journal of Personality and Social Psychology"
"10.1111/j.1467-9280.2008.02078.x","Nonconscious Goal Pursuit in Novel Environments","Is nonconscious goal pursuit useful in novel environments? The prevalent view of automaticity and control implies that an unconscious mode of goal pursuit can only reproduce formerly learned actions, and therefore that its usefulness in novel environments is very limited. Our results demonstrate that this conclusion is not always warranted, as nonconscious goal pursuit facilitated participants' learning of the structure of completely novel environments. Specifically, two experiments, using markedly different implicit-learning paradigms, demonstrated facilitation of implicit learning when the goal of achievement was primed. We propose that nonconscious goal pursuit can facilitate not only reproductive operations, but also productive ones, and that implicit learning is sensitive to the organism's nonconscious goals.","Psychological Science"
"10.1111/j.1467-9280.2008.02044.x","Sensitivity to Object Viewpoint and Action Instructions During Search for Targets in the Lower Visual Field","We contrasted visual search for targets presented in prototypical views and targets presented in non-prototypical views, when targets were defined by their names and when they were defined by the action that would normally be performed on them. The likelihood of the first fixation falling on the target was increased for prototypical-view targets falling in the lower visual field. When targets were defined by actions, the durations of fixations were reduced for targets in the lower field. The results are consistent with eye movements in search being affected by representations within the dorsal visual stream, where there is strong representation of the lower visual field. These representations are sensitive to the familiarity or the affordance offered by objects in prototypical views, and they are influenced by action-based templates for targets.","Psychological Science"
"10.1111/j.1467-9280.2008.02077.x","Toward a Physiology of Dual-Process Reasoning and Judgment: Lemonade, Willpower, and Expensive Rule-Based Analysis","This experiment used the attraction effect to test the hypothesis that ingestion of sugar can reduce reliance on intuitive, heuristic-based decision making. In the attraction effect, a difficult choice between two options is swayed by the presence of a seemingly irrelevant “decoy” option. We replicated this effect and the finding that the effect increases when people have depleted their mental resources performing a previous self-control task. Our hypothesis was based on the assumption that effortful processes require and consume relatively large amounts of glucose (brain fuel), and that this use of glucose is why people use heuristic strategies after exerting self-control. Before performing any tasks, some participants drank lemonade sweetened with sugar, which restores blood glucose, whereas others drank lemonade containing a sugar substitute. Only lemonade with sugar reduced the attraction effect. These results show one way in which the body (blood glucose) interacts with the mind (self-control and reliance on heuristics).","Psychological Science"
"10.1111/j.1551-6709.2010.01164.x","The Cognitive Dynamics of Negated Sentence Verification","We explored the influence of negation on cognitive dynamics, measured using mouse-movement trajectories, to test the classic notion that negation acts as an operator on linguistic processing. In three experiments, participants verified the truth or falsity of simple statements, and we tracked the computer-mouse trajectories of their responses. Sentences expressing these facts sometimes contained a negation. Such negated statements could be true (e.g., ""elephants are not small"") or false (e.g., ""elephants are not large""). In the first experiment, as predicted by the classic notion of negation, we found that negation caused more discreteness in the mouse trajectory of a response. The second experiment induced a simple context for these statements, yet negation still increased discreteness in trajectories. A third experiment enhanced the pragmatic context of sentences, and the discreteness was substantially diminished, with one primary measure no longer significantly showing increased discreteness at all. Traditional linguistic theories predict rapid shifts in cognitive dynamics occur due to the nature of negation: It is an operator that reverses the truth or falsity of an interpretation. We argue that these results support both propositional and contextual accounts of negation present in the literature, suggesting that contextual factors are crucial for determining the kind of cognitive dynamics displayed. We conclude by drawing broader lessons about theories of cognition from the case of negation.","Cognitive Science"
"10.1177/0956797611429579","Cuing Consumerism","Correlational evidence indicates that materialistic individuals experience relatively low levels of well-being. Across four experiments, we found that situational cuing can also trigger materialistic mind-sets, with similarly negative personal and social consequences. Merely viewing desirable consumer goods resulted in increases in materialistic concerns and led to heightened negative affect and reduced social involvement (Experiment 1). Framing a computer task as a ""Consumer Reaction Study"" led to a stronger automatic bias toward values reflecting self-enhancement, compared with framing the same task as a ""Citizen Reaction Study"" (Experiment 2). Consumer cues also increased competitiveness (Experiment 3) and selfishness in a water-conservation dilemma (Experiment 4). Thus, the costs of materialism are not localized only in particularly materialistic people, but can also be found in individuals who happen to be exposed to environmental cues that activate consumerism-cues that are commonplace in contemporary society.","Psychological Science"
"10.1177/0956797620927967","Affective Arousal Links Sound to Meaning","Prior investigations have demonstrated that people tend to link pseudowords such as <i>bouba</i> to rounded shapes and <i>kiki</i> to spiky shapes, but the cognitive processes underlying this matching bias have remained controversial. Here, we present three experiments underscoring the fundamental role of emotional mediation in this sound-shape mapping. Using stimuli from key previous studies, we found that <i>kiki</i>-like pseudowords and spiky shapes, compared with <i>bouba</i>-like pseudowords and rounded shapes, consistently elicit higher levels of affective arousal, which we assessed through both subjective ratings (Experiment 1, <i>N</i> = 52) and acoustic models implemented on the basis of pseudoword material (Experiment 2, <i>N</i> = 70). Crucially, the mediating effect of arousal generalizes to novel pseudowords (Experiment 3, <i>N</i> = 64, which was preregistered). These findings highlight the role that human emotion may play in language development and evolution by grounding associations between abstract concepts (e.g., shapes) and linguistic signs (e.g., words) in the affective system.","Psychological Science"
"10.1037/0022-3514.94.1.16","Why do implicit and explicit attitude tests diverge? The role of structural fit.","Implicit and explicit attitude tests are often weakly correlated, leading some theorists to conclude that implicit and explicit cognition are independent. Popular implicit and explicit tests, however, differ in many ways beyond implicit and explicit cognition. The authors examined in 4 studies whether correlations between implicit and explicit tests were influenced by the similarity in task demands (i.e., structural fit) and, hence, the processes engaged by each test. Using an affect misattribution procedure, they systematically varied the structural fit of implicit and explicit tests of racial attitudes. As test formats became more similar, the implicit-explicit correlation increased until it became higher than in most previous research. When tests differ in structure, they may underestimate the relationship between implicit and explicit cognition. The authors propose a solution that uses procedures to maximize structural fit.","Journal of Personality and Social Psychology"
"10.1177/1948550612457688","How Quick Decisions Illuminate Moral Character","It has been suggested that people attend to others’ actions in the service of forming impressions of their underlying dispositions. If so, it follows that in considering others’ morally relevant actions, social perceivers should be responsive to accompanying cues that help illuminate actors’ underlying moral character. This article examines one relevant cue that can characterize any decision process: the speed with which the decision is made. Two experiments show that actors who make an immoral decision quickly (vs. slowly) are evaluated more negatively. In contrast, actors who arrive at a moral decision quickly (vs. slowly) receive particularly positive moral character evaluations. Quick decisions carry this signal value because they are assumed to reflect certainty in the decision (Experiments 1 and 2), which in turn signals that more unambiguous motives drove the behavior (Experiment 2), which in turn explains the more polarized moral character evaluations. Implications for moral psychology and the law are discussed.","Social Psychological and Personality Science"
"10.1037/0278-7393.34.1.65","Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.","The authors investigated semantic neighborhood density effects on visual word processing to examine the dynamics of activation and competition among semantic representations. Experiment 1 validated feature-based semantic representations as a basis for computing semantic neighborhood density and suggested that near and distant neighbors have opposite effects on word processing. Experiment 2 confirmed these results: Word processing was slower for dense near neighborhoods and faster for dense distant neighborhoods. Analysis of a computational model showed that attractor dynamics can produce this pattern of neighborhood effects. The authors argue for reconsideration of traditional models of neighborhood effects in terms of attractor dynamics, which allow both inhibitory and facilitative effects to emerge.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1111/j.1467-9280.2008.02098.x","The Representation of Simple Ensemble Visual Features Outside the Focus of Attention","The representation of visual information inside the focus of attention is more precise than the representation of information outside the focus of attention. We found that the visual system can compensate for the cost of withdrawing attention by pooling noisy local features and computing summary statistics. The location of an individual object is a local feature, whereas the center of mass of several objects (centroid) is a summary feature representing the mean object location. Three experiments showed that withdrawing attention degraded the representation of individual positions more than the representation of the centroid. It appears that information outside the focus of attention can be represented at an abstract level that lacks local detail, but nevertheless carries a precise statistical summary of the scene. The term ensemble features refers to a broad class of statistical summary features that we propose collectively make up the representation of information outside the focus of attention.","Psychological Science"
"10.1037/0022-3514.94.3.382","Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.","In the present research, the authors investigated the impact of self-regulation resources on confirmatory information processing, that is, the tendency of individuals to systematically prefer standpoint-consistent information to standpoint-inconsistent information in information evaluation and search. In 4 studies with political and economic decision-making scenarios, it was consistently found that individuals with depleted self-regulation resources exhibited a stronger tendency for confirmatory information processing than did individuals with nondepleted self-regulation resources. Alternative explanations based on processes of ego threat, cognitive load, and mood were ruled out. Mediational analyses suggested that individuals with depleted self-regulation resources experienced increased levels of commitment to their own standpoint, which resulted in increased confirmatory information processing. In sum, the impact of ego depletion on confirmatory information search seems to be more motivational than cognitive in nature.","Journal of Personality and Social Psychology"
"10.1111/j.1467-9280.2008.02052.x","The Threat of Appearing Prejudiced and Race-Based Attentional Biases","The current work tested whether external motivation to respond without prejudice toward Blacks is associated with biased patterns of selective attention that reflect a threat response to Black individuals. In a dot-probe attentional bias paradigm, White participants with low and high external motivation to respond without prejudice toward Blacks (i.e., low-EM and high-EM individuals, respectively) were presented with pairs of White and Black male faces that bore either neutral or happy facial expressions; on each trial, the faces were displayed for either 30 ms or 450 ms. The findings were consistent with those of previous research on threat and attention: High-EM participants revealed an attentional bias toward neutral Black faces presented for 30 ms, but an attentional bias away from neutral Black faces presented for 450 ms. These attentional biases were eliminated, however, when the faces displayed happy expressions. These findings suggest that high levels of external motivation to avoid prejudice result in anxious arousal in response to Black individuals, and that this response affects even basic attentional processes.","Psychological Science"
"10.1111/j.1467-9280.2008.02040.x","Loving Those Who Justify Inequality","People are often faced with threats to the legitimacy of their sociopolitical system. According to system-justification theory, when faced with such threats, people are motivated to restore their faith in the status quo by engaging in psychological processes that bolster its apparent legitimacy (Jost, Banaji, & Nosek, 2004). How might such processes of system justification manifest themselves in everyday interpersonal functioning? One way that system justification is revealed in social psychological functioning has been well-documented--through the endorsement and cognitive activation of stereotypes whose specific content justifies social inequality (e.g., Kay et al., 2007). Does the psychological link between benevolent stereotyping and system justification influence how women are treated and judged? We argue that it does, and specifically that when people experience a threat to the legitimacy of the social system, one factor that affects their attraction to a potential romantic partner is whether that partner embodies system-justifying stereotypes, such as those that align with benevolent sexist ideals. We hypothesized that male participants whose faith in the federal system was threatened would show greater romantic interest in women who embody benevolent sexist ideals than in women who do not embody these ideals. We also hypothesized that they would show greater interest in women who embody benevolent sexist ideals than would male participants whose faith in the system was not threatened. The findings are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Psychological Science"
"10.1037/0278-7393.34.1.230","Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.","Research on retrieval-induced forgetting has demonstrated that retrieving some information from memory can cause the forgetting of other information in memory. Here, the authors report research on the relearning of items that have been subjected to retrieval-induced forgetting. Participants studied a list of category- exemplar pairs, underwent a series of retrieval-practice and relearning trials, and, finally, were tested on the initially studied pairs. The final recall of non-relearned items exhibited a cumulative effect of retrieval-induced forgetting such that the size of the effect increased with each block of retrieval practice. Of most interest, and very surprising from a common-sense standpoint, items that were relearned benefited more from that relearning if they had previously been forgotten. The results offer insights into the nature and durability of retrieval-induced forgetting and provide additional evidence that forgetting is an enabler--rather than a disabler--of future learning.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1037/0278-7393.34.1.128","Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.","Three experiments are reported that examine the relationship between short-term memory for time and order information, and the more specific claim that order memory is driven by a timing signal. Participants were presented with digits spaced irregularly in time and postcued (Experiments 1 and 2) or precued (Experiment 3) to recall the order or timing of the digits. The primary results of interest were as follows: (a) Instructing participants to group lists had similar effects on serial and timing recall in inducing a pause in recall between suggested groups; (b) the timing of recall was predicted by the timing of the input lists in both serial recall and timing recall; and (c) when the recall task was precued, there was a tendency for temporally isolated items to be more accurately recalled than temporally crowded items. The results place constraints on models of serial recall that assume a timing signal generates positional representations and suggest an additional role for information about individual durations in short-term memory.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1007/s40732-020-00453-8","Further Analysis of the Response Deprivation Hypothesis: Application of the Disequilibrium Model to Novel Clinical Contexts","© 2021, Association for Behavior Analysis International.Behaviors are considered instrumental when they produce opportunities to engage in other activities (i.e., contingent actions). By manipulating opportunities to engage in instrumental/contingent activities, practitioners can alter the direction and magnitude of instrumental behavior using principles of disequilibrium theory. Though previously unexplored, these models may have utility in clinical contexts involving automatically maintained behavior. In the current study, we sought to provide a brief demonstration of the potential generality and applicability of this model to clinical contexts involving automatic behavior, schedule thinning, and novel response dimensions.","The Psychological Record"
"10.1073/pnas.1508932113","Dominant, open nonverbal displays are attractive at zero-acquaintance","Across two field studies of romantic attraction, we demonstrate that postural expansiveness makes humans more romantically appealing. In a field study (n = 144 speed-dates), we coded nonverbal behaviors associated with liking, love, and dominance. Postural expansiveness-expanding the body in physical space-was most predictive of attraction, with each one-unit increase in coded behavior from the video recordings nearly doubling a person's odds of getting a ""yes"" response from one's speed-dating partner. In a subsequent field experiment (n = 3,000), we tested the causality of postural expansion (vs. contraction) on attraction using a popular Global Positioning System-based online-dating application. Mate-seekers rapidly flipped through photographs of potential sexual/date partners, selecting those they desired to meet for a date. Mate-seekers were significantly more likely to select partners displaying an expansive (vs. contractive) nonverbal posture. Mediation analyses demonstrate one plausible mechanism through which expansiveness is appealing: Expansiveness makes the dating candidate appear more dominant. In a dating world in which success sometimes is determined by a split-second decision rendered after a brief interaction or exposure to a static photograph, single persons have very little time to make a good impression. Our research suggests that a nonverbal dominance display increases a person's chances of being selected as a potential mate.","Proceedings of the National Academy of Sciences"
"10.1017/S1366728914000273","Flexibility in task switching by monolinguals and bilinguals","© 2014 Cambridge University Press.Many bilinguals routinely switch between their languages, yet mixed evidence exists about the transfer of language switching skills to broader domains that require attentional control such as task switching. Monolingual and bilingual young adults performed a nonverbal task-switching paradigm in which they viewed colored pictures of animals and indicated either the animal or its color in response to a cue. Monolinguals and bilinguals performed similarly when switching between tasks (local switch cost) in a mixed-task block, but bilinguals demonstrated a smaller mixing effect (global switch cost) than monolinguals, indicating better ability to reconfigure stimulus-response associations. These results suggest that regular practice using multiple languages confers a broader executive function advantage shown as improved flexibility in task switching.",""
"10.1037/0022-3514.94.1.158","Poignancy: Mixed emotional experience in the face of meaningful endings.","The experience of mixed emotions increases with age. Socioemotional selectivity theory suggests that mixed emotions are associated with shifting time horizons. Theoretically, perceived constraints on future time increase appreciation for life, which, in turn, elicits positive emotions such as happiness. Yet, the very same temporal constraints heighten awareness that these positive experiences come to an end, thus yielding mixed emotional states. In 2 studies, the authors examined the link between the awareness of anticipated endings and mixed emotional experience. In Study 1, participants repeatedly imagined being in a meaningful location. Participants in the experimental condition imagined being in the meaningful location for the final time. Only participants who imagined ""last times"" at meaningful locations experienced more mixed emotions. In Study 2, college seniors reported their emotions on graduation day. Mixed emotions were higher when participants were reminded of the ending that they were experiencing. Findings suggest that poignancy is an emotional experience associated with meaningful endings.","Journal of Personality and Social Psychology"
"10.4148/1944-9771.1299","The Sooner, the Better? Couples' First Financial Discussion, Relationship Quality, and Financial Conflict in Emerging Adulthood","In couple relationships, discussing finances is often considered taboo. Specifically, emerging adult couples experience several unique financial challenges that may contribute to poorer financial communication and pose relational risks. Utilizing structural equation modeling with a sample of 1,950 U.S. emerging adults, the current study tests associations between the time of a couple’s first financial discussion, financial communication, relationship quality, and financial conflict. Results indicate that initiating financial discussion earlier in a romantic relationship may benefit relationship quality�""through financial communication. However, having an earlier first financial discussion as a couple was also positively associated with financial conflict. Financial therapists might consider teaching emerging adult couples to have a first financial discussion earlier along with strategies to overcome financial conflict. Additionally, financial therapists may consider assessing when emerging adult couples first discussed finances in their relationship. Overall, our findings suggest the sooner an emerging adult couple discusses finances, the better.","Journal of Financial Therapy"
"10.1177/0956797610397956","Hierarchical Encoding in Visual Working Memory","Influential models of visual working memory treat each item to be stored as an independent unit and assume that there are no interactions between items. However, real-world displays have structure that provides higher-order constraints on the items to be remembered. Even in the case of a display of simple colored circles, observers can compute statistics, such as mean circle size, to obtain an overall summary of the display. We examined the influence of such an ensemble statistic on visual working memory. We report evidence that the remembered size of each individual item in a display is biased toward the mean size of the set of items in the same color and the mean size of all items in the display. This suggests that visual working memory is constructive, encoding displays at multiple levels of abstraction and integrating across these levels, rather than maintaining a veridical representation of each item independently.","Psychological Science"
"10.1037/0022-3514.94.4.718","The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","How do youths' personality reports differ from those of adults? To identify the year-by-year timing of developmental trends from late childhood (age 10) to early adulthood (age 20), the authors examined Big Five self-report data from a large and diverse Internet sample. At younger ages within this range, there were large individual differences in acquiescent responding, and acquiescence variability had pronounced effects on psychometric characteristics. Beyond the effects of acquiescence, self-reports generally became more coherent within domains, and better differentiated across domains, at older ages. Importantly, however, different Big Five domains showed different developmental trends. Extraversion showed especially pronounced age gains in coherence but no gains in differentiation. In contrast, Agreeableness and Conscientiousness showed large age gains in differentiation but only trivial gains in coherence. Neuroticism and Openness showed moderate gains in both coherence and differentiation. Comparisons of items that were relatively easy versus difficult to comprehend indicated that these patterns were not simply due to verbal comprehension. These findings have important implications for the study of personality characteristics and other psychological attributes in childhood and adolescence.","Journal of Personality and Social Psychology"
"10.1037/0278-7393.34.1.97","A single-system account of the relationship between priming, recognition, and fluency.","A single-system computational model of priming and recognition was applied to studies that have looked at the relationship between priming, recognition, and fluency in continuous identification paradigms. The model was applied to 3 findings that have been interpreted as evidence for a multiple-systems account: (a) priming can occur for items not recognized; (b) the pattern of identification reaction times (RTs) to hits, misses, correct rejections, and false alarms can change as a function of recognition performance; and (c) fluency effects (shorter RTs to words judged old vs. judged new) and priming effects (shorter RTs to old vs. new words) can be observed in amnesic patients at levels comparable with healthy adults despite impaired or near-chance recognition. The authors' simulations suggest, contrary to previous interpretations, that these results are consistent with a single-system account.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1037/0022-3514.94.1.1","Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.","The action-based model of dissonance predicts that following decisional commitment, approach-oriented motivational processes occur to assist in translating the decision into effective and unconflicted behavior. Therefore, the modulation of these approach-oriented processes should affect the degree to which individuals change their attitudes to be more consistent with the decisional commitment (spreading of alternatives). Experiment 1 demonstrated that a neurofeedback-induced decrease in relative left frontal cortical activation, which has been implicated in approach motivational processes, caused a reduction in spreading of alternatives. Experiment 2 manipulated an action-oriented mindset following a decision and demonstrated that the action-oriented mindset caused increased activation in the left frontal cortical region as well as increased spreading of alternatives. Discussion focuses on how this integration of neuroscience and dissonance theory benefits both parent literatures.","Journal of Personality and Social Psychology"
"10.1016/j.cognition.2017.06.025","A familiar-size Stroop effect in the absence of basic-level recognition","© 2017When we view a picture of an object, we automatically recognize what the object is and know how big it typically is in the world (Konkle & Oliva, 2012). Is information about an object's size activated only after we've identified the object, or can this size information be activated before object recognition even occurs? We previously found that big and small objects differ in mid-level perceptual features (Long, Konkle, Cohen, & Alvarez, 2016). Here we asked whether these perceptual features can automatically trigger real-world size processing, bypassing the need for basic-level object recognition. To test this hypothesis, we used an image synthesis algorithm to generate “texform” images, which are unrecognizable versions of big and small objects that still preserve some textural and form information from the original images. Across two experiments, we find that even though these synthesized stimuli cannot be identified, they automatically trigger familiar size processing and give rise to a Size-Stroop effect. Furthermore, we isolate perceived curvature as one feature the visual system uses to infer real-world size. These results suggest that mid-level perceptual features can automatically feed forward to facilitate object processing, and challenge the idea that we must first identify an object before we can access its higher-level properties.","Cognition"
"10.1111/j.1467-9280.2008.02080.x","A Motion Aftereffect From Still Photographs Depicting Motion","A photograph of an action can convey a vivid sense of motion. Does the inference of motion from viewing a photograph involve the same neural and psychological representations used when one views physical motion? In this study, we tested whether implied motion is represented by the same direction-selective signals involved in the perception of real motion. We made use of the motion aftereffect, a visual motion illusion. Three experiments showed that viewing a series of static photographs with implied motion in a particular direction produced motion aftereffects in the opposite direction, as assessed with real-motion test probes. The transfer of adaptation from motion depicted in photographs to real motion demonstrates that the perception of implied motion activates direction-selective circuits that are also involved in processing real motion.","Psychological Science"
"10.1111/j.1467-9280.2007.02004.x","Running on Empty","Past research shows that self-control is limited and becomes depleted after initial exertions. This study examined the neural processes underlying self-control failure by testing whether controlled, effortful behavior impairs subsequent attempts at control by depleting the neural system associated with conflict monitoring. Subjects either watched an emotional movie normally or tried to suppress their emotions while watching the movie; they then completed an ostensibly unrelated Stroop task while electroencephalographic activity was recorded. The error-related negativity (ERN)--a waveform associated with activity in the anterior cingulate--was measured to determine whether prior regulatory exertion constrained the conflict-monitoring system. Compared with subjects in the control condition, those who suppressed their emotions performed worse on the Stroop task, and this deficit was mediated by weaker ERN signals. These results offer a neural account for the self-regulatory-strength model and demonstrate the utility of the social neuroscience approach.","Psychological Science"
"10.1111/j.1467-9280.2008.02091.x","The Sunny Side of Fairness","Little is known about the positive emotional impact of fairness or the process of resolving conflict between fairness and financial interests. In past research, fairness has covaried with monetary payoff, such that the mental processes underlying preference for fairness and those underlying preference for greater monetary outcome could not be distinguished. We examined self-reported happiness and neural responses to fair and unfair offers while controlling for monetary payoff. Compared with unfair offers of equal monetary value, fair offers led to higher happiness ratings and activation in several reward regions of the brain. Furthermore, the tendency to accept unfair proposals was associated with increased activity in right ventrolateral prefrontal cortex, a region involved in emotion regulation, and with decreased activity in the anterior insula, which has been implicated in negative affect. This work provides evidence that fairness is hedonically valued and that tolerating unfair treatment for material gain involves a pattern of activation resembling suppression of negative affect.","Psychological Science"
"10.1037/0022-3514.94.1.48","1/f noise and effort on implicit measures of bias.","Phenomena that vary over time can often be represented as a complex waveform. Fourier analysis decomposes this complex wave into a set of sinusoidal component waves. In some phenomena, the amplitude of these waves varies in inverse relation to frequency. This pattern has been called 1/f noise and, unlike white noise, it reflects nonrandom variation. Latencies in simple computer tasks typically reveal 1/f noise, but the magnitude of the noise decreases as tasks become more challenging. The current work hypothesizes a correspondence between 1/f noise and effort, leading to the prediction that increasing effort will reduce 1/f noise. In 2 studies, the author examined the relationship between an individual's attempts to avoid bias (measured in Study 1, manipulated in Study 2) and 1/f noise in implicit measures of stereotyping and prejudice. In each study, participants who made an effort to modulate the use of racial information showed less 1/f noise than did participants who made less effort. The potential value of this analytic approach to social psychology is discussed.","Journal of Personality and Social Psychology"
"10.1037/0278-7393.34.3.439","How to say no: Single- and dual-process theories of short-term recognition tested on negative probes.","Three experiments with short-term recognition tasks are reported. In Experiments 1 and 2, participants decided whether a probe matched a list item specified by its spatial location. Items presented at study in a different location (intrusion probes) had to be rejected. Serial position curves of positive, new, and intrusion probes over the probed location's position were mostly parallel. Serial position curves of intrusion probes over their position of origin were again parallel to those of positive probes. Experiment 3 showed largely parallel serial position effects for positive probes and for intrusion probes plotted over positions in a relevant and an irrelevant list, respectively. The results support a dual-process theory in which recognition is based on familiarity and recollection, and recollection uses 2 retrieval routes, from context to item and from item to context.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1037/0022-3514.94.2.245","Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","In paradigms in which participants state their ideal romantic-partner preferences or examine vignettes and photographs, men value physical attractiveness more than women do, and women value earning prospects more than men do. Yet it remains unclear if these preferences remain sex differentiated in predicting desire for real-life potential partners (i.e., individuals whom one has actually met). In the present study, the authors explored this possibility using speed dating and longitudinal follow-up procedures. Replicating previous research, participants exhibited traditional sex differences when stating the importance of physical attractiveness and earning prospects in an ideal partner and ideal speed date. However, data revealed no sex differences in the associations between participants' romantic interest in real-life potential partners (met during and outside of speed dating) and the attractiveness and earning prospects of those partners. Furthermore, participants' ideal preferences, assessed before the speed-dating event, failed to predict what inspired their actual desire at the event. Results are discussed within the context of R. E. Nisbett and T. D. Wilson's (1977) seminal article: Even regarding such a consequential aspect of mental life as romantic-partner preferences, people may lack introspective awareness of what influences their judgments and behavior.","Journal of Personality and Social Psychology"
"10.1177/0956797619854706","Challenging Moral Attitudes With Moral Messages","When crafting a message, communicators may turn to moral rhetoric as a means of influencing an audience’s opinion. In the present research, we tested whether the persuasiveness of explicitly moral counterattitudinal messages depends on how much people have already based their attitudes on moral considerations. A survey of the literature suggests several competing hypotheses that we tested across two studies. The results support a persuasive-matching pattern: A moral appeal was more persuasive than a nonmoral appeal to the extent that initial attitudes were based on moral concerns (i.e., attitudes were moralized), but the opposite was true when initial attitudes had less of a moral basis. Exploratory analyses also showed that these effects were mediated by valenced thoughts about the message and moderated by political orientation. These findings add new insight to literatures on both the effects of moral arguments and moralized attitudes.","Psychological Science"
