entry_id,effect_id,fred_id,ref_o,doi_o,study_o,ref_r,doi_r,url_r,study_r,discipline,tags,description,claim_text_o,claim_page_o,n_o,es_value_o,es_type_o,es_repr_o,pval_value_o,pval_type_o,pval_tails_o,nested_o,prereg_o,n_r,es_value_r,es_type_r,es_repr_r,pval_value_r,pval_type_r,pval_tails_r,nested_r,prereg_r,r_o,r_r
13,2,additional_studies41,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Higher expectations produce more negative disconfirmation, all else being equal (Hong Kong sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,-0.903,b (unstd),11.0,0.001,l (<),NA (not reported),yes,,992.0,-0.968,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,3,additional_studies41_b,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,Expectancy-Disconfirmation Theory...public services...citizen satisfaction,"citizens judge public services not only on experienced service quality but also on an implicit comparison
of service quality with prior expectations.","The expectations factor had only a very small negative main effect, which was not at all significant statistically… b = -0.01, p = n.s",45637.0,908.0,-0.01,b (unstd),12.0,,,2 (two),yes,,992.0,0.031,b (unstd),10.0,,,NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,4,additional_studies41_b,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Higher performance leads to more positive disconfirmation, all else being equal (Hong Kong sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,1.445,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,992.0,2.507,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,5,additional_studies41_c,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,Expectancy-Disconfirmation Theory...public services...citizen satisfaction,"citizens judge public services not only on experienced service quality but also on an implicit comparison
of service quality with prior expectations.","The interaction effect was positive, meaning that high expectations seemed to amplify the effect of performance on satisfaction judgments… b = 0.08, p = n.s",45637.0,908.0,0.08,b (unstd),12.0,,,2 (two),yes,,992.0,-0.024,b (unstd),10.0,,,NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,6,additional_studies41_c,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology",Positive disconfirmation (performance exceeding expectations) leads to higher satisfaction (Hong Kong sample),"""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.354,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,992.0,0.274,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,7,additional_studies41_d,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,Expectancy-Disconfirmation Theory...public services...citizen satisfaction,"citizens judge public services not only on experienced service quality but also on an implicit comparison
of service quality with prior expectations.","performance had a large and statistically significant main effect on satisfaction… b = 0.55, p < .01",45637.0,908.0,0.55,b (unstd),12.0,0.01,l (<),2 (two),yes,,1228.0,1.216,b (unstd),10.0,0.01,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,8,additional_studies41_d,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Performance directly and positively influences satisfaction, separate from its effect on disconfirmation. (Hong Kong sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.583,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,992.0,1.121,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,9,additional_studies41_e,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,Expectancy-Disconfirmation Theory...public services...citizen satisfaction,"citizens judge public services not only on experienced service quality but also on an implicit comparison
of service quality with prior expectations.","The expectations factor had only a very small negative main effect, which was not at all significant statistically… b = -0.01, p = n.s",45637.0,908.0,-0.01,b (unstd),12.0,,,2 (two),yes,,1228.0,0.005,b (unstd),10.0,,,NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,10,additional_studies41_e,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Expectations have a direct effect on satisfaction, separate from its effect on disformation (Hong Kong sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.314,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,992.0,0.33,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,11,additional_studies41_f,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,Expectancy-Disconfirmation Theory...public services...citizen satisfaction,"citizens judge public services not only on experienced service quality but also on an implicit comparison
of service quality with prior expectations.","The interaction effect was positive, meaning that high expectations seemed to amplify the effect of performance on satisfaction judgments… b = 0.08, p = n.s",45637.0,908.0,0.08,b (unstd),12.0,,,2 (two),yes,,1228.0,0.017,b (unstd),10.0,,,NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,12,additional_studies41_f,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Higher expectations produce more negative disconfirmation, all else being equal (Shenhzen sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,-0.903,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,1228.0,-0.371,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,13,additional_studies41_g,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Higher performance leads to more positive disconfirmation, all else being equal. (Shenhzen sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,1.445,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,1228.0,3.051,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,14,additional_studies41_h,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology",Positive disconfirmation (performance exceeding expectations) leads to higher satisfaction (Shenhzen sample),"""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.354,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,1228.0,0.39,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,15,additional_studies41_i,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Performance directly and positively influences satisfaction, separate from its effect on disconfirmation. (Shenhzen sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.583,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,1228.0,1.243,b (unstd),9.0,0.001,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
13,16,additional_studies41_j,"Van Ryzin, G. G. (2013). An experimental test of the expectancy‐disconfirmation theory of citizen satisfaction. Journal of Policy Analysis and Management, 32(3), 597-614. https://doi.org/10.1002/pam.21702",10.1002/pam.21702,1.0,"Chen, W., Dong, B., Hsieh, C.-W., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ""an experimental test of the expectancy-disconfirmation theory of citizen satisfaction"". Public Administration, 100(3), 778-791. https://doi.org/10.1111/padm.12860",10.1111/padm.12860,,2.0,Management,"Expectancy Disconfirmation Theory, Citizen Satisfaction, Public Administration, Experimental Research, Social Psychology, Satisfaction Theory, Expectations in Public Services, Disconfirmation, Citizen Perceptions, Government Performance, Public Opinion, Experimental Methodology","Expectations have a direct effect on satisfaction, separate from its effect on disformation (Shenhzen sample)","""Figure 6"" ""Overall, the empirical model in Figure 6 explains 26 percent of variance in satisfaction. More importantly, all of the core relationships were in the expected direction and were both substantively strong and highly significant statistically (p < .001 for all path coefficients).""",10.0,908.0,0.314,b (unstd),10.0,0.001,l (<),NA (not reported),yes,,1228.0,0.154,b (unstd),9.0,0.05,l (<),NA (not reported),yes,https://aspredicted.org/~AhaPdyHcZf,,
14,1,additional_studies47,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This effect examines how block type (switch vs. non-switch) affects reaction times (global switch cost condition),"""There was a main effect of block type, with longer RTs for non- switch trials in the switch block, F(1,64) = 228.4, p < .001, η2, p = .78""",5.0,68.0,0.78,etasq,5.0,0.001,l (<),NA (not reported),yes,,78.0,0.62,etasq,10.0,0.001,l (<),NA (not reported),yes,,0.883176087,0.787400787
14,2,additional_studies47_b,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This effect explores whether language status (bilingual vs. monolingual) has an impact on global switch costs (global switch cost condition),"""No main effect of language status, F < 1""",5.0,68.0,,,5.0,,,NA (not reported),yes,,78.0,0.01,etasq,10.0,0.384,e (=),NA (not reported),yes,,,0.1
14,3,additional_studies47_c,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This interaction effect investigates how block type (switch vs. non-switch) and language status interact to affect global switch costs (global switch cost condition),"There was ""An interaction between block type and language status, F(1, 64) = 4.9, p = .03, η²_p = .07, in which the difference between RT in switch and non-switch blocks was smaller for bilinguals, consistent with smaller GSC"" ""our study found that young adult bilinguals displayed a GSC advantage, but no LSC advantage.""",5.0,68.0,0.07,etasq,5.0,0.03,e (=),NA (not reported),yes,,78.0,0.051,etasq,10.0,0.047,e (=),NA (not reported),yes,,0.264575131,0.225831796
14,4,additional_studies47_d,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This effect examines the difference in reaction times between switch and non-switch trials within the switch block (local switch cost),"""There was a main effect of switch status, with longer RTs for switch trials, F(1, 64) = 53.2, p < .001, η²_p = .45""",6.0,68.0,0.45,etasq,6.0,0.001,l (<),NA (not reported),yes,,78.0,0.418,etasq,11.0,0.001,l (<),NA (not reported),yes,,0.670820393,0.646529195
14,5,additional_studies47_e,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This effect tests whether language status (bilingual vs. monolingual) influences the local switch cost  (local switch cost condition),"""Neither the language status main effect nor the interaction reached significance, Fs < 1"" ""our study found that young adult bilinguals displayed a GSC advantage, but no LSC advantage.""",6.0,68.0,,,6.0,,,NA (not reported),yes,,78.0,0.029,etasq,11.0,0.133,e (=),NA (not reported),yes,,,0.170293864
14,6,additional_studies47_f,"Wiseheart, M., Viswanathan, M., & Bialystok, E. (2016). Flexibility in task switching by monolinguals and bilinguals. Bilingualism: Language and Cognition, 19(1), 141–146. https://doi.org/10.1017/S1366728914000273",10.1017/S1366728914000273,1.0,"Ward, R., & Awani, J. (2024). Bilingualism and flexibility in task switching: A close replication study. Studies in Second Language Acquisition, 1-17. https://doi.org/10.1017/S0272263124000378",10.1017/S0272263124000378,,1.0,Linguistics,"Bilingual advantage, bilingualism, executive control, executive functioning, task switching",This interaction effect examines whether the relationship between switch status (switch vs. non-switch trials) and local switch costs is moderated by language status (local switch cost condition),"""Neither the language status main effect nor the interaction reached significance, Fs < 1"" ""our study found that young adult bilinguals displayed a GSC advantage, but no LSC advantage.""",6.0,68.0,,,6.0,,,NA (not reported),yes,,78.0,0.015,etasq,11.0,0.282,e (=),NA (not reported),yes,,,0.122474487
15,1,additional_studies48,"Wilfong, R. (. (2021). The mattering model: The foundational elements of mattering for K-12 educators (Order No. 28319407). Available from ProQuest Dissertations & Theses Global. (2537966312). Retrieved from https://www.proquest.com/dissertations-theses/mattering-model-foundational-elements-k-12/docview/2537966312/se-2",,1.0,"Thornton, K. B. (2024). PERCEPTIONS OF MATTERING AMONG GENERAL EDUCATION TEACHERS: REPLICATION, VALIDATION, AND EXTENSION OF THE FUNDAMENTAL ELEMENTS OF MATTERING SCALE FOR TEACHERS (FEMS-T).",,https://digitalcommons.memphis.edu/etd/3538/,1.0,Education,"Mattering, self-esteem, health, depression, marginalization, teachers, porpuse","Mattering is the feeling that one’s actions are significant, and that one would be missed if
one were gone","The final result identified eight factors with 40 total items. Table 12 shows the third and final rotated factor matrix, with the loading for each item. Factors six, seven, and eight are the least stable with only three items each. The researcher determined that the factor loading of these items was strong enough (0.833 to 0.618) for them to remain viable factors. Additionally, the scree plot (Figure 8) shows a bend at factor eight, which confirms that keeping eight factors is warranted.",77.0,1110.0,χ2(712) = 1991.413,χ2,p.165,0.0,e (=),NA (not reported),no,,,χ2(224) = 393.695,test statistic,p.27,0.001,l (<),NA (not reported),no,,,
16,1,additional_studies49,"Lozano, C., & Díaz-Negrillo, A. (2019). Using learner corpus methods in L2 acquisition research: The morpheme order studies revisited with Interlanguage Annotation. Revista Española de Lingüística Aplicada/Spanish Journal of Applied Linguistics, 32(1), 82-124. https://doi.org/10.1075/resla.17019.loz",10.1075/resla.17019.loz,1.0,"Kontkanen, J. (2024). Investigating the effect of proficiency level on the acquisition order of morphemes for L2 English learners: A replication of a corpus-based SLA study using Interlanguage Annotation.",,https://helda.helsinki.fi/bitstreams/b16ebd43-f83b-42c9-9996-adf6735845c1/download,1.0,Linguistics,"Second Language Acquisition (SLA), Interlanguage Annotation, 
Morpheme Order Studies (MOS), Grammatical Morphemes, 
COREFL (Corpus of English as a Foreign Language)","Progressive -ing. The annotation covers OCs of the progressive verb form in
main lexical verbs occurring in finite verb phrases. Present","By conflating A1 and A2 together into ‘beginners’ and B1 and B2 into ‘intermediates’ (Figure 6B),7 beginners significantly differ from intermediates for each morpheme
(p < 0.02 for all χ2 contrasts),8 except for plural -s (TLU = 14/15 vs. 51/54, χ2 = 0.027, p > 0.05) and possessive -’s (TLU = 6/7 vs. 4/7, χ2 = 1.400, p > 0.05).",100.0,40.0,χ2(1)=22.77,test statistic,"p.101, df inferred based on description",0.02,l (<),NA (not reported),no,,40.0,χ2(1)=2.34,test statistic,p.31,0.126,e (=),NA (not reported),no,,,
16,2,additional_studies49_b,"Lozano, C., & Díaz-Negrillo, A. (2019). Using learner corpus methods in L2 acquisition research: The morpheme order studies revisited with Interlanguage Annotation. Revista Española de Lingüística Aplicada/Spanish Journal of Applied Linguistics, 32(1), 82-124. https://doi.org/10.1075/resla.17019.loz",10.1075/resla.17019.loz,1.0,"Kontkanen, J. (2024). Investigating the effect of proficiency level on the acquisition order of morphemes for L2 English learners: A replication of a corpus-based SLA study using Interlanguage Annotation.",,https://helda.helsinki.fi/bitstreams/b16ebd43-f83b-42c9-9996-adf6735845c1/download,1.0,Linguistics,"Second Language Acquisition (SLA), Interlanguage Annotation, 
Morpheme Order Studies (MOS), Grammatical Morphemes, 
COREFL (Corpus of English as a Foreign Language)","Plural -s. The annotation covers OCs of the regular plural number form in nouns, while irregular nominal plurals or plural number forms with other lexical categories (adjectives) were not annotated, as done in previous MOS.","By conflating A1 and A2 together into ‘beginners’ and B1 and B2 into ‘intermediates’ (Figure 6B),7 beginners significantly differ from intermediates for each morpheme
(p < 0.02 for all χ2 contrasts),8 except for plural -s (TLU = 14/15 vs. 51/54, χ2 = 0.027, p > 0.05) and possessive -’s (TLU = 6/7 vs. 4/7, χ2 = 1.400, p > 0.05).",100.0,40.0,χ2(1)=0.03,test statistic,p.100,0.05,l (<),NA (not reported),no,,40.0,χ2(1)=1.72,test statistic,p.31,0.19,e (=),NA (not reported),no,,,
