;doi_o;abstract;title
58;10.1016/j.addbeh.2015.05.004;© 2015 Elsevier Ltd.Introduction: Recent research indicates that there is a link between emotional maltreatment and alcohol dependence (AD), but the underlying mechanisms still need to be clarified. There is reason to assume that maltreatment related cues automatically activate an associative memory network comprising cues eliciting craving as well as alcohol-related responses. The current study aimed to examine this network in AD patients who experienced emotional abuse using a priming paradigm. Methods: A specific priming effect in emotionally abused AD subjects was hypothesized for maltreatment related words that preceded alcohol related words. 49 AD subjects (n. =. 14 with emotional abuse vs. n. =. 35 without emotional abuse) and 34 control subjects performed a priming task with maltreatment related and neutral prime words combined with alcohol related and neutral target words. Maltreatment related words consisted of socially and physically threatening words. Results: As hypothesized, a specific priming effect for socially threatening and physically threatening cues was found only in AD subjects with emotional abuse. Conclusions: The present data are the first to provide evidence that child maltreatment related cues automatically activate an associative memory network in alcoholics with emotional abuse experiences.;When abuse primes addiction — Automatic activation of alcohol concepts by child maltreatment related cues in emotionally abused alcoholics
59;10.1016/j.ajhg.2008.03.016;"The two main phenotypes of inflammatory bowel disease (IBD)-Crohn's disease (CD) and ulcerative colitis (UC)-are chronic intestinal inflammatory disorders with a complex genetic background. Using a three-stage design, we performed a functional candidate-gene analysis of innate immune pathway in IBD. In phase I, we typed 354 SNPs from 85 innate immunity genes in 520 Dutch IBD patients (284 CD, 236 UC) and 808 controls. In phase II, ten autosomal SNPs showing association at p < 0.006 in phase I were replicated in a second cohort of 545 IBD patients (326 CD, 219 UC) and 360 controls. In phase III, four SNPs with p < 0.01 in the combined phase I and phase II analysis were genotyped in an additional 786 IBD samples (452 CD, 334 UC) and 768 independent controls. Joint analysis of 1851 IBD patients (1062 CD, 789 UC) and 1936 controls demonstrated strong association to the IL18RAP rs917997 SNP for both CD and UC (pIBD 1.9 × 10-8; OR 1.35). Association in CD is independently supported by the Crohn's disease dataset of the Wellcome Trust Case Control Consortium (imputed SNP rs917997, p = 9.19 × 10-4). In addition, an association of the CARD9 rs10870077 SNP to CD and UC was observed (pIBD = 3.25 × 10-5; OR 1.21). Both genes are located in extended haplotype blocks on 2q11-2q12 and 9q34.3, respectively. Our results indicate two IBD loci and further support the importance of the innate immune system in the predisposition to both CD and UC. © 2008 The American Society of Human Genetics.";Genetic Analysis of Innate Immunity in Crohn's Disease and Ulcerative Colitis Identifies Two Susceptibility Loci Harboring CARD9 and IL18RAP
60;10.1016/j.ajhg.2009.12.009;Recent advances in genome research have enabled the identification of new genomic variations that are associated with type 2 diabetes mellitus (T2DM). Via fine mapping of SNPs in a candidate region of chromosome 21q, the current study identifies potassium inwardly-rectifying channel, subfamily J, member 15 (KCNJ15) as a new T2DM susceptibility gene. KCNJ15 is expressed in the β cell of the pancreas, and a synonymous SNP, rs3746876, in exon 4 (C566T) of this gene, with T allele frequency among control subjects of 3.1%, showed a significant association with T2DM affecting lean individuals in three independent Japanese sample sets (p = 2.5 × 10-7, odds ratio [OR] = 2.54, 95% confidence interval [CI] = 1.76-3.67) and with unstratified T2DM (p = 6.7 × 10-6, OR = 1.76, 95% CI = 1.37-2.25). The diabetes risk allele frequency was, however, very low among Europeans in whom no association between this variant and T2DM could be shown. Functional analysis in human embryonic kidney 293 cells demonstrated that the risk allele of the synonymous SNP in exon 4 increased KCNJ15 expression via increased mRNA stability, which resulted in the higher expression of protein as compared to that of the nonrisk allele. We also showed that KCNJ15 is expressed in human pancreatic β cells. In conclusion, we demonstrated a significant association between a synonymous variant in KCNJ15 and T2DM in lean Japanese patients with T2DM, suggesting that KCNJ15 is a previously unreported susceptibility gene for T2DM among Asians. © 2010 The American Society of Human Genetics.;Identification of KCNJ15 as a Susceptibility Gene in Asian Patients with Type 2 Diabetes Mellitus
61;10.1016/j.aos.2016.02.003;© 2016 Elsevier Ltd.Business unit (BU) controllers play a fiduciary role to ensure the integrity of financial reporting. However, they often face social pressure from their BU managers to misreport. Drawing on the literature on the human mirror neuron system, this paper investigates whether controllers' ability to withstand such pressure has a neurobiological basis. We expect that mirror neuron system functionality determines controllers' inclination to succumb to social pressure exerted by self-interested managers to engage in misreporting. We measure mirror neuron system functionality using electroencephalographic (EEG) data from 29 professional controllers during an emotional expressions observation task. The controllers' inclination to misreport was measured using scenarios in which controllers were being pressed by their manager to misreport. We find a positive association between controllers' mirror neuron system functionality and their inclination to yield to managerial pressure. In line with our expectation, we find that this association existed specifically for scenarios in which managers pressed their controllers out of personal rather than organizational interests. We conclude that BU controllers' neurobiological characteristics are involved in financial misreporting behavior and discuss the implications for accounting research and practice.;Why controllers compromise on their fiduciary duties: EEG evidence on the role of the human mirror neuron system
62;10.1016/j.appet.2011.12.023;Based on evidence that the color red elicits avoidance motivation across contexts (Mehta & Zhu, 2009), two studies investigated the effect of the color red on snack food and soft drink consumption. In line with our hypothesis, participants drank less from a red labeled cup than from a blue labeled cup (Study 1), and ate less snack food from a red plate than from a blue or white plate (Study 2). The results suggest that red functions as a subtle stop signal that works outside of focused awareness and thereby reduces incidental food and drink intake. © 2012 Elsevier Ltd.;The color red reduces snack food and soft drink intake
63;10.1016/j.bandl.2009.05.002;Functional transcranial Doppler ultrasound (fTCD) is a relatively new and non-invasive technique that assesses cerebral lateralisation through measurements of blood flow velocity in the middle cerebral arteries. In this study fTCD was used to compare functional asymmetry during a word generation task between a group of 30 dyslexic adults and a group of 30 non-dyslexic individuals. In light of previous evidence of atypical laterality in dyslexia, a reduced leftward asymmetry was predicted and confirmed. We know from previous research that most people with atypical language lateralisation have normal language and literacy skills: nevertheless, our results confirm that language laterality is reduced in those with dyslexia. Theoretical explanations for this apparent conundrum are discussed.;Atypical cerebral lateralisation in adults with compensated developmental dyslexia demonstrated using functional transcranial Doppler ultrasound
64;10.1016/j.beproc.2008.04.003;Planning has long been considered a uniquely human capacity. Lately, however, it has been shown that apes and a corvid species act now to derive a material future benefit. Since primates are highly social animals and their sociality is considered a strong selective force that resulted in complex cognitive capacities, planning is also expected in social situations. Unfortunately, prompting from social partners cannot be excluded in a social setting. Therefore, we controlled for this factor by testing the capacity to plan in chimpanzees using an exchange paradigm, that involves both a material and a social component, and a tool-use paradigm, similar to the one used on two other ape species. All chimpanzees failed to plan in the exchange task, but three individuals showed planning behavior in the tool-use task. Our methods controlled for the fact that chimpanzees were not prompted by the visibility of the reward at the moment of planning and also could not repeat a previously acquired routine. The best interpretation for our results is that chimpanzees can plan. However, planning was limited to the situation where the action to attain the future benefit only depended on a chimpanzee's own behavior. © 2008 Elsevier B.V. All rights reserved.;Chimpanzees fail to plan in an exchange task but succeed in a tool-using procedure
65;10.1016/j.biopsych.2004.11.026;Background: Difficulties in defining and characterizing phenotypes has hindered progress in psychiatric genetics and clinical neuroscience. Decreased approach-related behavior and anhedonia (lack of responsiveness to pleasure) are considered cardinal features of depression, but few studies have used laboratory-based measures to objectively characterize these constructs. Methods: To assess hedonic capacity in relation to depressive, particularly anhedonic, symptoms, 62 participants completed a signal-detection task based on a differential reinforcement schedule. Anhedonia was operationalized as decreased reward responsiveness. Results: Unequal frequency of reward between two correct responses produced a response bias (i.e., a systematic preference to identify the stimulus paired with the more frequent reward). Subjects with elevated depressive symptoms (Beck Depression Inventory scores ≥ 16) failed to show a response bias. Impaired reward responsiveness predicted higher anhedonic symptoms 1 month later, after controlling for general negative affectivity. Conclusions: Impaired tendency to modulate behavior as a function of prior reinforcement might underline diminished hedonic capacity in depression. When applied to a clinical population, objective assessments of participants' propensity to modulate behavior as a function of reward might provide a powerful tool for improving the phenotypic definition of depression and thus offer a reliable behavioral screening approach for neuroscience studies of depression.;Toward an objective characterization of an anhedonic phenotype: A signal-detection approach
66;10.1016/j.biopsycho.2010.05.010;Past studies have suggested that the neuropeptide oxytocin (OT) could play a crucial role in human trusting behavior. Specifically, people on OT would be more willing to entrust someone with their money than would people on a placebo. Because alternative explanations-which do not involve trust-exist for these studies' findings, the present study aimed to rule out confounds and test how OT influences trust behavior in a totally different context. The variable at stake was not money but confidential information. Sixty participants were randomly assigned to receive either OT or a placebo. Results showed that oxytocin does increase trust, and that its effects extend beyond money. Specifically, participants on OT were 44 times more trusting that their privacy would not be violated than participants on placebo. © 2010 Elsevier B.V.;Oxytocin not only increases trust when money is at stake, but also when confidential information is in the balance
67;10.1016/j.biopsycho.2016.05.001;Extinction-resistant fear is considered to be a central feature of pathological anxiety. Here we sought to determine if individual differences in Intolerance of Uncertainty (IU), a potential risk factor for anxiety disorders, underlies compromised fear extinction. We tested this hypothesis by recording electrodermal activity in 38 healthy participants during fear acquisition and extinction. We assessed the temporality of fear extinction, by examining early and late extinction learning. During early extinction, low IU was associated with larger skin conductance responses to learned threat vs. safety cues, whereas high IU was associated with skin conductance responding to both threat and safety cues, but no cue discrimination. During late extinction, low IU showed no difference in skin conductance between learned threat and safety cues, whilst high IU predicted continued fear expression to learned threat, indexed by larger skin conductance to threat vs. safety cues. These findings suggest a critical role of uncertainty-based mechanisms in the maintenance of learned fear.;Nothing is safe: Intolerance of uncertainty is associated with compromised fear extinction learning
68;10.1016/j.brat.2003.07.001;Compulsive ordering and arranging, and a preoccupation with symmetry are features of obsessive-compulsive disorder (OCD) that have not been examined experimentally. Three connected studies were conducted to examine this phenomenon: a self-report measure of this behaviour was developed and validated, participants were asked to engage in tasks designed to assess preferences for order, and to assess the interference of disorderly surroundings in the completion of a stressful activity. The self-report measure has sound psychometric properties and validity. Participants with a strong preference for order were made more anxious by having to complete a difficult task in a disorganized environment. Participants without this preference did not show this effect. The results are discussed in terms of the phenomenology of compulsive ordering and arranging, and its relationships with both OCD and normal human behaviour. It is suggested that compulsive ordering and a drive for symmetry are extreme manifestations of the common preference for order and symmetry. © 2003 Elsevier Ltd. All rights reserved.;Symmetry, ordering and arranging compulsive behaviour
69;10.1016/j.brs.2012.03.006;A role for the cerebellum in cognition is controversial, but it is a view that is becoming increasingly popular. The aim of the current study was to investigate this issue using transcranial Direct Current Stimulation (tDCS) during two cognitive tasks that require comparable motor skills, but different levels of working memory and attention. Three groups of twenty-two participants each performed the Paced Auditory Serial Addition Task (PASAT) and a novel variant of this task called the Paced Auditory Serial Subtraction Task (PASST), together with a verb generation task and its two controls, before and after the modulation of cortico-cerebellar connectivity using anodal or cathodal tDCS over the cerebellum. Participants' performance in the difficult PASST task significantly improved after cathodal stimulation compared to sham or anodal stimulation. Improvement in the easier PASAT was equal across all three stimulation conditions. Improvement in verbal response latencies were also greatest during the PASST task after cathodal stimulation, compared to sham and anodal stimulation, and became less variable. Results for the verb generation task complimented those for the PASST, such that the rate and consistency of participants' verbal responses were facilitated by cathodal stimulation, compared to sham and anodal stimulation. These findings suggest that DC stimulation over the right cerebellum affects working memory and attention differently depending on task difficulty. They support a role for the cerebellum in cognitive aspects of behaviour, whereby activity in the prefrontal cortex is likely dis-inhibited by cathodal tDCS stimulation over the right cerebellar cortex, which normally exerts an overall inhibitory tone on the cerebral cortex. We speculate that the cerebellum is capable of releasing cognitive resources by dis-inhibition of prefrontal regions of cerebral cortex, enhancing performance when tasks become demanding.;Task-specific facilitation of cognition by cathodal transcranial direct current stimulation of the cerebellum
70;10.1016/j.brs.2017.05.005;"© 2017 Elsevier Inc.Background Resting Motor threshold (rMT) provides information about cortical motor excitability. Interestingly, the influences of the structural or functional variability of the motor system on the rMT inter-individual variability have been poorly investigated. Objective/hypothesis To investigate relationships between rMT and measures of brain structures and function of the motor system. The hypothesis is that cortical excitability not only depends on the primary motor cortex (M1) but also on the integration of information originating from its vicinity such as premotor (PMd and SMA) and post-central (S1) cortices. Methods We measured brain structures, including grey and white matter properties (cortical volume and fiber coherence respectively), and functional interaction (resting-state functional connectivity-FC) in areas contributing to the corticospinal tract axons, i. e, M1, S1, SMA and PMd in the dominant hemisphere of 21 healthy subjects. Results The rMT was inversely correlated with the FC between PMd and M1 (r = −0.496, 95%CI: −0.764; −0.081; p = 0.02) and the grey matter volume of the dominant hemisphere (r = −0.463, 95%CI: −0.746; −0.039; p = 0.03). The multiple regression analysis model retained the FC between M1 and PMd (coefficient: −25 ± 9) as well as the grey matter volume of the dominant hemisphere (coefficient: −0.15 ± 0.06) explaining 44% of the variance of the rMT (p: 0.005). When adding age and coil-to-cortex distance, two factors known to influence rMT, the model reached a R2 of 75% (p: 0.0001). Conclusions These results underline the major role of the PMd and the cortico-cortical connections toward M1 in the excitation of the corticospinal fibers likely through trans-synaptic pathways.";Anatomical and functional correlates of cortical motor threshold of the dominant hand
71;10.1016/j.cedpsych.2009.06.005;Relations were examined between epistemic beliefs, achievement goals, learning strategies, and achievement. We sought to empirically test Muis' [Muis, K. R. (2007). The role of epistemic beliefs in self-regulated learning. Educational Psychologist, 42, 173-190] hypothesis that epistemic beliefs influence processes of self-regulated learning via the standards students set for learning once goals are produced. Two hundred one undergraduate students from an educational psychology course completed questionnaires designed to measure the various constructs. Students' final grades were also collected at the end of the semester. Students' recollections of course tasks revealed that their epistemic beliefs are activated during learning. Results from structural equation modeling revealed epistemic beliefs influenced the types of achievement goals students adopted, which subsequently influenced the types of learning strategies they used in their education course, and their achievement. Moreover, achievement goals mediated relations between epistemic beliefs and learning strategies, and learning strategies mediated relations between achievement goals and achievement. © 2009 Elsevier Inc. All rights reserved.;Epistemic beliefs: Setting the standards for self-regulated learning
72;10.1016/j.cell.2011.09.029;Here, we demonstrate that protein-coding RNA transcripts can crosstalk by competing for common microRNAs, with microRNA response elements as the foundation of this interaction. We have termed such RNA transcripts as competing endogenous RNAs (ceRNAs). We tested this hypothesis in the context of PTEN, a key tumor suppressor whose abundance determines critical outcomes in tumorigenesis. By a combined computational and experimental approach, we identified and validated endogenous protein-coding transcripts that regulate PTEN, antagonize PI3K/AKT signaling, and possess growth- and tumor-suppressive properties. Notably, we also show that these genes display concordant expression patterns with PTEN and copy number loss in cancers. Our study presents a road map for the prediction and validation of ceRNA activity and networks and thus imparts a trans-regulatory function to protein-coding mRNAs. © 2011 Elsevier Inc.;Coding-Independent Regulation of the Tumor Suppressor PTEN by Competing Endogenous mRNAs
73;10.1016/j.cell.2013.04.008;Replenishing insulin-producing pancreatic β cell mass will benefit both type I and type II diabetics. In adults, pancreatic β cells are generated primarily by self-duplication. We report on a mouse model of insulin resistance that induces dramatic pancreatic β cell proliferation and β cell mass expansion. Using this model, we identify a hormone, betatrophin, that is primarily expressed in liver and fat. Expression of betatrophin correlates with β cell proliferation in other mouse models of insulin resistance and during gestation. Transient expression of betatrophin in mouse liver significantly and specifically promotes pancreatic β cell proliferation, expands β cell mass, and improves glucose tolerance. Thus, betatrophin treatment could augment or replace insulin injections by increasing the number of endogenous insulin-producing cells in diabetics. PaperClip © 2013 Elsevier Inc.;RETRACTED: Betatrophin: A Hormone that Controls Pancreatic β Cell Proliferation
74;10.1016/j.chb.2015.04.024;© 2015 Elsevier Ltd.All rights reserved.The fast advancement of communications, mobile technologies, and the proliferation of smart devices has increased the importance of mobile banking services for banks, financial institutions, and users. In developing countries, especially in Africa, mobile banking can play a strong role, providing a way to overcome financial exclusion and physical distance by allowing local population to conduct financial transactions. Acceptance studies in this region are scarce, leaving us an almost unexplored area of research. We advance the body of knowledge on mobile banking acceptance by proposing an innovative and comprehensive theoretical model that combines the extended unified theory of acceptance and use of technology (UTAUT2) of Venkatesh, Thong, and Xu (2012), with cultural moderators from Hofstede, providing new insights into factors affecting the acceptation and how culture influences individual use behaviour. The model was tested using structural equation modelling (SEM), in a quantitative study conducted in an African country, reinforcing data and knowledge available from this important region. Performance expectancy, hedonic motivation, and habit were found to be the most significant antecedents of behaviour intention. To explain the mobile banking use behaviour the habit and culture moderator effects on behaviour intention over use behaviour were the most important drivers. Collectivism, uncertainty avoidance, short term and power distance were found to be the most significant cultural moderators.;Understanding mobile banking: The unified theory of acceptance and use of technology combined with cultural moderators
75;10.1016/j.cogbrainres.2005.02.020;Transcranial magnetic stimulation (TMS) and a behavioral paradigm were used to assess whether listening to action-related sentences modulates the activity of the motor system. By means of single-pulse TMS, either the hand or the foot/leg motor area in the left hemisphere was stimulated in distinct experimental sessions, while participants were listening to sentences expressing hand and foot actions. Listening to abstract content sentences served as a control. Motor evoked potentials (MEPs) were recorded from hand and foot muscles. Results showed that MEPs recorded from hand muscles were specifically modulated by listening to hand-action-related sentences, as were MEPs recorded from foot muscles by listening to foot-action-related sentences. This modulation consisted of an amplitude decrease of the recorded MEPs. In the behavioral task, participants had to respond with the hand or the foot while listening to actions expressing hand and foot actions, as compared to abstract sentences. Coherently with the results obtained with TMS, when the response was given with the hand, reaction times were slower during listening to hand-action-related sentences, while when the response was given with the foot, reaction times were slower during listening to foot-action-related sentences. The present data show that processing verbally presented actions activates different sectors of the motor system, depending on the effector used in the listened-to action. © 2005 Elsevier B.V. All rights reserved.;Listening to action-related sentences modulates the activity of the motor system: A combined TMS and behavioral study
76;10.1016/j.cognition.2004.01.007;"The present study compares the processing of unambiguous restrictive and non-restrictive relative clauses (RCs) within both a null context and a supportive discourse using a self-paced reading methodology. Individuals read restrictive RCs more slowly than non-restrictive RCs in a null context, but processed restrictive RCs faster than non-restrictive RCs in supportive context, resulting in an interaction between context and RC type. These results provide evidence for two theoretical points. First, principles analogous to those in referential theory [Altmann G. T. M., & Steedman, M. (1988). Interaction with context during human sentence processing. Cognition, 30, 191-238; Crain, S., & Steedman, M. (1985). On not being led up the garden path: The use of context by the psychological parser. In D. Dowty, L. Karttunnen, A. Zwicky (Eds.), Natural language parsing. Cambridge, UK: Cambridge University Press] apply not only in resolving ambiguity but also in processing unambiguous sentences. Second, the discourse context can guide and facilitate interpretive processing. This result suggests that intrasentential factors such as syntax are not autonomous from contextual processing, contrary to the modularity hypothesis [Fodor, J. A. (1983). Modularity of mind. Cambridge, MA: MIT Press]. © 2004 Elsevier B.V. All rights reserved.";The influence of contextual contrast on syntactic processing: evidence for strong-interaction in sentence comprehension
77;10.1016/j.cognition.2006.02.009;Embodied theories of cognition hold that mentally representing something red engages the neural subsystems that respond to environmental perception of that colour. This paper examines whether implicit perceptual information on object colour is represented during sentence comprehension even though doing so does not necessarily facilitate task performance. After reading a sentence that implied a particular colour for a given object, participants were presented with a picture of the object that either matched or mismatched the implied colour. When asked if the pictured object was mentioned in the preceding sentence, people's responses were faster when the colours mismatched than when they matched, suggesting that object colour is represented differently to other object properties such as shape and orientation. A distinction between stable and unstable embodied representations is proposed to allow embodied theories to account for these findings. © 2006 Elsevier B.V. All rights reserved.;Representing object colour in language comprehension
78;10.1016/j.cognition.2007.11.004;Traditional theories of moral development emphasize the role of controlled cognition in mature moral judgment, while a more recent trend emphasizes intuitive and emotional processes. Here we test a dual-process theory synthesizing these perspectives. More specifically, our theory associates utilitarian moral judgment (approving of harmful actions that maximize good consequences) with controlled cognitive processes and associates non-utilitarian moral judgment with automatic emotional responses. Consistent with this theory, we find that a cognitive load manipulation selectively interferes with utilitarian judgment. This interference effect provides direct evidence for the influence of controlled cognitive processes in moral judgment, and utilitarian moral judgment more specifically. © 2007 Elsevier B.V. All rights reserved.;Cognitive load selectively interferes with utilitarian moral judgment
79;10.1016/j.cognition.2008.04.002;We investigated whether adult learners' knowledge of phonotactic restrictions on word forms from their first language impacts their ability to use statistical information to segment words in a novel language. Adults were exposed to a speech stream where English phonotactics and phoneme co-occurrence information conflicted. A control where these did not conflict was also run. Participants chose between words defined by novel statistics and words that are phonotactically possible in English, but had much lower phoneme contingencies. Control participants selected words defined by statistics while experimental participants did not. This result held up with increases in exposure and when segmentation was aided by telling participants a word prior to exposure. It was not the case that participants simply preferred English-sounding words, however, when the stimuli contained very short pauses, participants were able to learn the novel words despite the fact that they violated English phonotactics. Results suggest that prior linguistic knowledge can interfere with learners' abilities to segment words from running speech using purely statistical cues at initial exposure. © 2008 Elsevier B.V. All rights reserved.;The curse of knowledge: First language knowledge impairs adult learners’ use of novel statistics for word segmentation
80;10.1016/j.cognition.2008.08.008;"Do 18-month-olds understand that an agent's false belief can be corrected by an appropriate, though not an inappropriate, communication? In Experiment 1, infants watched a series of events involving two agents, a ball, and two containers: a box and a cup. To start, agent1 played with the ball and then hid it in the box, while agent2 looked on. Next, in agent1's absence, agent2 moved the ball from the box to the cup. When agent1 returned, agent2 told her ""The ball is in the cup!"" (informative-intervention condition) or ""I like the cup!"" (uninformative-intervention condition). During test, agent1 reached for either the box (box event) or the cup (cup event). In the informative-intervention condition, infants who saw the box event looked reliably longer than those who saw the cup event; in the uninformative-intervention condition, the reverse pattern was found. These results suggest that infants expected agent1's false belief about the ball's location to be corrected when she was told ""The ball is in the cup!"", but not ""I like the cup!"". In Experiment 2, agent2 simply pointed to the ball's new location, and infants again expected agent1's false belief to be corrected. These and control results provide additional evidence that infants in the second year of life can attribute false beliefs to agents. In addition, the results suggest that by 18 months of age infants expect agents' false beliefs to be corrected by relevant communications involving words or gestures. © 2008 Elsevier B.V. All rights reserved.";Can an agent’s false belief be corrected by an appropriate communication? Psychological reasoning in 18-month-old infants
81;10.1016/j.cognition.2009.10.008;"Several studies showed a Simon effect when two participants sit close to each other and perform one of the two halves of a two-choice RT task. That is, each participant perform a go-nogo task. A Simon effect emerges, which instead is absent when the same go-nogo tasks are performed individually. Hence the terms were introduced of ""social Simon task"" and 'social Simon effect"". As of now, the social Simon effect was observed with social Simon tasks that overtly gave the participants the impression of being performing in collaboration with another person. In the present study we show that the social Simon effect was present also when, in the social Simon task, the two participants did not actually collaborate. It is, however, absent when participants perform the social task outside of each other's peripersonal space (i.e., outside arm-reach). We argue that the social Simon effect does not necessarily imply a representation of the other's action, as previously suggested. The presence of an active confederate in peripersonal space might simply provide a reference for coding one's own action in space. © 2009 Elsevier B.V. All rights reserved.";Sharing a task or sharing space? On the effect of the confederate in action coding in a detection task
82;10.1016/j.cognition.2012.04.008;The present study investigated the mechanisms responsible for the difference between visual processing of stimuli near and far from the observer's hands. The idea that objects near the hands are immediate candidates for action led us to hypothesize that vision near the hands would be biased toward the action-oriented magnocellular visual pathway that supports processing with high temporal resolution but low spatial resolution. Conversely, objects away from the hands are not immediate candidates for action and, therefore, would benefit from a bias toward the perception-oriented parvocellular visual pathway that supports processing with high spatial resolution but low temporal resolution. We tested this hypothesis based on the psychophysical characteristics of the two pathways. Namely, we presented subjects with two tasks: a temporal-gap detection task which required the high temporal acuity of the magnocellular pathway and a spatial-gap detection task that required the spatial acuity of the parvocellular pathway. Consistent with our prediction, we found better performance on the temporal-gap detection task and worse performance on the spatial-gap detection task when stimuli were presented near the hands compared to when they were far from the hands. These findings suggest that altered visual processing near the hands may be due to changes in the contribution of the two visual pathways. © 2012 Elsevier B.V.;Hand position alters vision by biasing processing through different visual pathways
83;10.1016/j.cognition.2013.01.009;The belief that one can exert intentional control over behavior is deeply rooted in virtually all human beings. It has been shown that weakening such belief - e.g. by exposure to 'anti-free will' messages - can lead people to display antisocial tendencies. We propose that this cursory and irresponsible behavior may be facilitated by a breakdown of neurocognitive mechanisms underlying behavioral adjustments. In the study reported here, we tested the hypothesis that weakening belief in intentional control reduces cognitive markers of behavioral control. Participants performed a Simon task before and after reading a scientific text either denying free will (no-free will group) or not mentioning free will (control group). Results showed that the post-error slowing, a cognitive marker of performance adjustment, was reduced in the no-free will group. This reduction was proportional to a decrease of the belief in intentional control. These observations indicate that weakening the belief in free will can impact behavioral adjustment after an error, and could be the cause of antisocial and irresponsible behavior.;When errors do not matter: Weakening belief in intentional control impairs cognitive reaction to errors
84;10.1016/j.cognition.2014.09.006;© 2014 Elsevier B.V.The hypothetical moral dilemma known as the trolley problem has become a methodological cornerstone in the psychological study of moral reasoning and yet, there remains considerable debate as to the meaning of utilitarian responding in these scenarios. It is unclear whether utilitarian responding results primarily from increased deliberative reasoning capacity or from decreased aversion to harming others. In order to clarify this question, we conducted two field studies to examine the effects of alcohol intoxication on utilitarian responding. Alcohol holds promise in clarifying the above debate because it impairs both social cognition (i.e., empathy) and higher-order executive functioning. Hence, the direction of the association between alcohol and utilitarian vs. non-utilitarian responding should inform the relative importance of both deliberative and social processing systems in influencing utilitarian preference. In two field studies with a combined sample of 103 men and women recruited at two bars in Grenoble, France, participants were presented with a moral dilemma assessing their willingness to sacrifice one life to save five others. Participants' blood alcohol concentrations were found to positively correlate with utilitarian preferences (. r=. .31, p<. .001) suggesting a stronger role for impaired social cognition than intact deliberative reasoning in predicting utilitarian responses in the trolley dilemma. Implications for Greene's dual-process model of moral reasoning are discussed.;The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas
85;10.1016/j.cognition.2016.03.003;© 2016 Elsevier B.V..Theories of embodied cognition emphasize the importance of sensorimotor schemas linked to external world experience for representing conceptual knowledge. Accordingly, some researchers have proposed that the spatial representation of numerical and non-numerical sequences relies on visuomotor routines, like reading habit and finger counting. There is a growing interest in how these two routines contribute to the spatial representation of ordinal sequences, although no investigation has so far directly compared them. The present study aims to investigate how these routines contribute to represent ordinal information in space. To address this issue, bilingual participants reading either from left-to-right or right-to-left were required to map ordinal information to all fingers of their right dominant hand. Critically, we manipulated both the direction of the mapping and the language of the verbal information. More specifically, a finger-mapping compatibility task was adopted in three experiments to explore the spatial representation of numerical (digit numbers and number words) and non-numerical (days of the week, presented in Hebrew and in English) sequences. Results showed that numerical information was preferentially mapped according to participants' finger counting habits, regardless of hand posture (prone and supine), number notation and reading habit. However, for non-numerical ordinal sequences, reading and finger counting directions both contributed to determine a preferential spatial mapping. These findings indicate that abstract knowledge representation relies on multiple over-trained visuomotor routines. More generally, these results highlight the capacity of our cognitive system to flexibly represent abstract ordered information, by relying on different directional experiences (finger counting, reading direction) depending on the stimuli and on the task at hand.;A helping hand putting in order: Visuomotor routines organize numerical and non-numerical sequences in space
86;10.1016/j.cognition.2017.02.010;© 2017 Elsevier B.V.Three studies examined the hypothesis that bilinguals can more rapidly disengage attention from irrelevant information than monolinguals by investigating the impact of previous trial congruency on performance in a simple flanker task. In Study 1, monolingual and bilingual young adults completed two versions of a flanker task. There were no differences between language groups on mean reaction time using standard analyses for congruent or incongruent trials or the size of the flanker effect. Sequential congruency effects (SCEs) however, which account for previous trial congruency, were smaller for bilinguals than for monolinguals. This finding was strongest at the shortest response-to-stimulus interval (RSI). Study 2 replicated this effect using a slightly different flanker task and a shorter RSI than study 1. Study 3 showed that at long RSIs, where behavioral SCE differences between groups disappear because of sufficient time to recover from the previous trial, event-related potentials demonstrated a continued influence of previous trial congruency for monolinguals but not bilinguals at both the N2 and the P3, replicating the reaction time effects in Studies 1 and 2. Together, these studies demonstrate that bilinguals experience less influence from previous trial congruency and have greater ability to disengage attention from the previous trial in order to focus attention on the current trial than is found for monolinguals.;Sequential congruency effects reveal differences in disengagement of attention for monolingual and bilingual young adults
87;10.1016/j.cognition.2017.12.004;© 2017 Elsevier B.V.While psychological, economic, and neuroscientific accounts of behavior broadly maintain that people minimize expenditure of cognitive effort, empirical work reveals how reward incentives can mobilize increased cognitive effort expenditure. Recent theories posit that the decision to expend effort is governed, in part, by a cost-benefit tradeoff whereby the potential benefits of mental effort can offset the perceived costs of effort exertion. Taking an individual differences approach, the present study examined whether one's executive function capacity, as measured by Stroop interference, predicts the extent to which reward incentives reduce switch costs in a task-switching paradigm, which indexes additional expenditure of cognitive effort. In accordance with the predictions of a cost-benefit account of effort, we found that a low executive function capacity—and, relatedly, a low intrinsic motivation to expend effort (measured by Need for Cognition)—predicted larger increase in cognitive effort expenditure in response to monetary reward incentives, while individuals with greater executive function capacity—and greater intrinsic motivation to expend effort—were less responsive to reward incentives. These findings suggest that an individual's cost-benefit tradeoff is constrained by the perceived costs of exerting cognitive effort.;Cognitive capacity limitations and Need for Cognition differentially predict reward-induced cognitive effort expenditure
